,get_company_url
0,/ja/startup/cosimo.ma
1,/ja/startup/www.shortshorts.org
2,/ja/startup/kiheitai.co.jp
3,/ja/startup/noom-japan
4,/ja/startup/nanapi
5,/ja/startup/lancers
6,/ja/startup/monita.tokyo
7,/ja/startup/KawaiiMuseumJpn
8,/ja/startup/AsMama
9,/ja/startup/FacePeer
10,/ja/startup/wondershake
11,/ja/startup/voyagin
12,/ja/startup/caliljp
13,/ja/startup/gifee.co
14,/ja/startup/%E4%B8%96%E7%95%8C%E3%81%A8%E3%81%A4%E3%81%AA%E3%81%8C%E3%82%8B%E6%97%85%E3%81%AE%E3%82%B3%E3%83%AC%E3%82%AF%E3%82%B7%E3%83%A7%E3%83%B3Compathy-_%E3%82%B3%E3%83%B3%E3%83%91%E3%82%B7%E3%83%BC_
15,/ja/startup/workshift
16,/ja/startup/campfirejp
17,/ja/startup/mery
